,,,Where was the study conducted/cohort recruited?,,,,,,,,,When was the study conducted and reported?,,,
X,A0_S,A0_C,B0_country,#siteLocation,B1_siteCat,B1_setting,B0_region,B0_income,B2_endem,B2_species1,B2_species2,B3_studyStart,B4_studyEnd,B5_reportDate,B5_reportMeans
X03210,S321,S321C1,China,villages in 1 county of southwest Sichuan province,other,rural,Eastern Asia,upper middle,0,japonicum,N/A,15/11/2009,15/12/2009,15/07/2011,journal article
X03430,S343,S343C1,Egypt,"6 schools in Motoubis area, Kafr El Sheikh Governorate",school,semi-urban,Northern Africa,lower middle,1,mansoni,N/A,15/01/2013,15/07/2013,26/01/2015,journal article
X03530,S353,S353C1,Brazil,"Pedra Preta, Montes Claros, Minas Gerais",unclear,semi-urban,South America,upper middle,3,mansoni,N/A,unknown,unknown,15/04/2014,conference
X03770,S377,S377C1,Uganda,"3 primary schools around Lake Victoria, Mayuge district",school,unclear,Eastern Africa,low,-9,mansoni,N/A,15/02/2013,15/03/2013,2/11/2014,conference
X03900,S390,S390C1,Uganda,villages around Lake Albert,other,unclear,Eastern Africa,low,-9,mansoni,N/A,unknown,unknown,2/11/2014,conference
X03920,S392,S392C1,Democratic Republic of the Congo,unknown,unclear,unclear,Middle Africa,low,1,mansoni,N/A,unknown,unknown,2/11/2014,conference
X03921,S392,S392C2,Ghana,unknown,unclear,unclear,Western Africa,lower middle,1,mansoni,N/A,unknown,unknown,2/11/2014,conference
X03922,S392,S392C3,Liberia,unknown,unclear,unclear,Western Africa,low,1,mansoni,N/A,unknown,unknown,2/11/2014,conference
X04050,S405,S405C1,Ethiopia,primary school in Senbete town,school,semi-urban,Eastern Africa,low,7,mansoni,N/A,15/03/2011,15/09/2011,14/09/2013,journal article
X04360,S436,S436C1,Ethiopia,"Tikur Wuha Elementary School, Jiga district",school,rural,Eastern Africa,low,2,mansoni,N/A,15/02/2011,15/03/2011,29/01/2013,journal article
X04430,S443,S443C1,Uganda,"2 villages around Lake Albert, Buliisa District",other,rural,Eastern Africa,low,6,mansoni,N/A,15/10/2012,15/11/2012,14/11/2013,journal article
X04490,S449,S449C1,Ethiopia,"Kemise health centre, Kemise town",hospital/health-centre,semi-urban,Eastern Africa,low,1,mansoni,N/A,15/09/2009,15/11/2009,15/06/2013,journal article
X04810,S481,S481C1,Ethiopia,"Shesha Kekele Elementary School, Wondo Genet",school,semi-urban,Eastern Africa,low,7,mansoni,N/A,15/04/2010,15/05/2010,28/03/2012,journal article
X05000,S500,S500C1,Cote d'Ivoire,9 primary schools in Biankouma,school,rural,Western Africa,lower middle,3,mansoni,N/A,15/11/2006,15/03/2007,15/04/2012,journal article
X05110,S511,S511C1,Uganda,"4 villages: Nakalanga (0.19 N, 33.29 E),Walumbe (0.24 N, 33.21 E), Kayanja (0.11 N, 33.29 E) and Nakirimira (0.21 N, 33.22 E), Mayuge district (Lake Victoria)",other,rural,Eastern Africa,low,2,mansoni,N/A,15/01/2009,15/02/2010,20/10/2010,journal article
X05111,S511,S511C2,Uganda,"4 villages: Nakalanga (0.19 N, 33.29 E),Walumbe (0.24 N, 33.21 E), Kayanja (0.11 N, 33.29 E) and Nakirimira (0.21 N, 33.22 E), Mayuge district (Lake Victoria)",other,rural,Eastern Africa,low,1,mansoni,N/A,15/01/2009,15/02/2010,20/10/2010,journal article
X05190,S519,S519C1,Egypt,15 villages in Beheira governorate,other,semi-urban,Northern Africa,lower middle,1,mansoni,N/A,unknown,unknown,15/04/2011,journal article
X05240,S524,S524C1,Uganda,"9 primary schools in Kei sub-county, Yumbe District",school,rural,Eastern Africa,low,2,mansoni,N/A,15/10/2007,15/12/2007,25/02/2011,journal article
X05490,S549,S549C1,Egypt,"El Rouse primary school, El Rouse village, Kafr El Sheikh Governorate, Nile Delta",school,rural,Northern Africa,lower middle,4,mansoni,N/A,unknown,unknown,16/11/2010,journal article
X05680,S568,S568C1,Nigeria,"General Hospital (outpatients), Ogoja, Cross River State",hospital/health-centre,rural,Western Africa,lower middle,1,haematobium,N/A,15/05/2006,15/10/2006,15/06/2009,journal article
X05740,S574,S574C1,Tanzania,8 primary schools in Pemba island,school,unclear,Eastern Africa,low,1,haematobium,N/A,15/05/2007,15/07/2007,1/3/2010,journal article
X06020,S602,S602C1,Kenya,"primary school in Jimba sub-location, Kaloleni division of Kilifi District, Coast Province",school,rural,Eastern Africa,low,9,haematobium,N/A,15/03/2005,15/04/2005,3/8/2009,journal article
X06160,S616,S616C1,Mozambique,4 primary schools in Matola (Machava J and Trevo schools) and Maputo (Costa do Sol and Triunfo schools),school,semi-urban + urban,Eastern Africa,low,5,haematobium,N/A,15/03/2004,15/11/2004,2/6/2009,journal article
